-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 11/30/2022 
Location: Latitude  0.13   Longitude -67.089 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 98.27 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M
2013,1,1,4.26,0.43,25.57,27.73,23.83,93.75,4.34,99.79,0.6,0.98,0.23,195.0
2013,1,2,5.02,0.51,25.9,29.06,23.37,92.0,3.4,99.75,0.5,0.73,0.18,194.69
2013,1,3,3.74,0.38,25.98,28.7,23.76,91.88,4.0,99.89,0.61,0.97,0.16,158.94
2013,1,4,2.9,0.3,26.22,29.0,24.22,90.94,1.51,99.97,0.59,0.95,0.14,163.06
2013,1,5,5.45,0.55,26.51,29.9,23.08,89.12,0.79,99.88,0.73,1.26,0.21,120.38
2013,1,6,5.87,0.59,26.93,29.89,23.97,89.69,3.42,99.73,0.55,0.98,0.04,116.69
2013,1,7,4.98,0.5,26.39,29.24,24.39,92.06,2.61,99.68,0.72,1.18,0.34,116.81
2013,1,8,4.99,0.5,26.73,29.89,24.19,90.0,0.43,99.7,0.75,1.16,0.51,132.44
2013,1,9,4.65,0.47,26.86,30.07,23.71,90.06,1.88,99.73,0.76,1.07,0.44,128.44
2013,1,10,5.21,0.52,26.58,29.43,24.28,90.19,1.34,99.7,0.76,1.2,0.17,139.25
2013,1,11,3.86,0.39,26.62,29.68,23.95,89.81,0.5,99.56,0.58,0.99,0.3,231.94
2013,1,12,5.86,0.59,25.71,28.05,23.76,88.0,0.05,99.56,0.36,0.66,0.05,175.19
2013,1,13,4.44,0.45,26.51,29.93,23.55,88.88,0.02,99.62,0.63,0.98,0.33,119.12
2013,1,14,3.9,0.39,26.2,28.48,24.55,92.56,0.1,99.67,0.57,0.88,0.16,135.5
2013,1,15,4.87,0.49,26.19,28.56,24.44,90.94,0.42,99.62,0.54,0.89,0.17,146.88
2013,1,16,2.69,0.27,25.71,27.75,23.86,93.12,1.88,99.61,0.5,0.84,0.02,130.0
2013,1,17,4.69,0.47,26.82,29.85,24.24,89.06,0.45,99.71,0.61,1.12,0.1,141.56
2013,1,18,4.95,0.49,26.49,29.15,24.04,90.25,0.09,99.83,0.72,1.04,0.31,153.5
2013,1,19,3.78,0.38,26.54,29.6,23.65,89.94,0.06,99.74,0.73,1.29,0.28,154.44
2013,1,20,4.95,0.49,26.7,29.8,23.6,89.38,1.63,99.7,0.57,1.0,0.11,134.75
2013,1,21,4.11,0.41,26.34,28.19,24.98,94.44,4.05,99.64,0.65,0.98,0.07,124.62
2013,1,22,4.74,0.47,26.11,28.41,24.36,93.0,1.63,99.78,0.59,1.12,0.1,140.25
2013,1,23,4.18,0.41,26.21,28.91,23.94,91.06,0.82,99.87,0.82,1.13,0.37,169.25
2013,1,24,4.8,0.48,26.28,29.08,23.8,92.19,2.15,99.9,0.65,1.04,0.45,200.12
2013,1,25,6.19,0.61,26.26,29.01,23.87,91.5,0.28,99.77,0.74,1.27,0.26,127.56
2013,1,26,5.11,0.51,26.69,29.83,24.08,90.56,0.09,99.74,0.74,1.26,0.14,139.75
2013,1,27,5.53,0.55,26.94,30.0,24.58,90.5,0.11,99.82,0.67,1.14,0.26,170.69
2013,1,28,5.89,0.58,26.17,28.0,24.28,95.62,15.2,99.9,0.63,1.19,0.27,213.56
2013,1,29,2.31,0.23,25.44,27.22,24.38,97.12,11.99,99.89,0.67,1.17,0.38,205.31
2013,1,30,4.75,0.47,25.85,28.52,23.74,93.75,5.61,99.82,0.57,1.04,0.2,176.88
2013,1,31,4.76,0.47,26.83,29.87,24.08,90.62,2.14,99.64,0.51,1.03,0.23,152.38
2013,2,1,4.66,0.45,26.92,30.57,23.54,88.31,0.59,99.61,0.6,0.92,0.34,176.75
2013,2,2,4.38,0.43,26.0,28.18,24.51,95.0,15.75,99.75,0.67,0.98,0.34,141.06
2013,2,3,4.83,0.47,25.98,28.95,23.41,93.75,13.76,99.71,0.59,1.08,0.25,134.69
2013,2,4,4.17,0.41,25.87,28.61,23.94,92.69,8.29,99.68,0.57,1.1,0.05,153.44
2013,2,5,3.89,0.38,25.38,27.22,23.92,95.06,8.55,99.75,0.51,0.77,0.15,179.38
2013,2,6,2.26,0.22,25.2,28.02,22.75,93.5,20.73,99.83,0.63,1.01,0.31,133.81
2013,2,7,5.12,0.5,25.83,28.88,23.1,91.56,11.84,99.71,0.8,1.4,0.16,121.44
2013,2,8,3.27,0.32,25.44,27.96,23.48,94.75,6.64,99.68,0.77,1.27,0.2,119.88
2013,2,9,5.39,0.52,26.08,29.06,23.42,90.06,1.3,99.71,0.57,0.83,0.14,108.0
2013,2,10,3.11,0.3,25.4,27.58,23.82,93.31,3.6,99.81,0.63,1.05,0.05,191.25
2013,2,11,5.04,0.48,24.69,27.56,22.33,92.81,0.71,99.85,0.63,1.26,0.16,134.19
