-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 11/30/2022 
Location: Latitude  -3.1   Longitude -60.0 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 51.37 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
PS                    MERRA-2 Surface Pressure (kPa) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,PRECTOTCORR,RH2M,WS10M,WS10M_MAX,WS10M_MIN,WD10M,PS
2013,1,1,4.78,0.46,25.44,27.01,23.86,11.31,90.06,0.88,1.59,0.33,157.31,100.37
2013,1,2,3.82,0.37,26.42,29.42,24.26,16.94,86.69,1.15,1.61,0.79,97.88,100.33
2013,1,3,4.5,0.44,25.79,27.8,24.59,6.5,91.38,1.13,1.49,0.59,72.44,100.49
2013,1,4,2.16,0.21,25.75,28.6,23.91,5.86,90.56,1.34,1.84,0.75,62.38,100.58
2013,1,5,3.5,0.34,26.13,29.27,23.8,10.08,89.44,1.39,1.89,0.95,73.75,100.51
2013,1,6,5.53,0.54,25.33,27.53,23.37,11.13,92.44,1.41,2.0,0.76,72.19,100.39
2013,1,7,5.65,0.55,26.6,29.68,23.94,5.6,89.69,1.38,1.82,0.69,78.69,100.29
2013,1,8,4.97,0.48,26.54,28.58,24.89,3.73,90.94,1.3,1.77,0.72,82.94,100.33
2013,1,9,4.9,0.48,26.84,29.44,24.8,4.12,88.25,1.33,1.7,0.95,67.19,100.35
2013,1,10,5.22,0.51,27.3,30.46,24.32,3.64,85.69,1.23,1.81,0.58,69.44,100.27
2013,1,11,2.65,0.26,26.76,28.49,25.59,6.12,90.38,1.16,1.68,0.48,104.19,100.1
2013,1,12,5.45,0.52,26.05,27.36,25.19,3.01,91.06,1.16,1.64,0.42,86.81,100.11
2013,1,13,5.73,0.55,26.27,28.23,24.9,1.0,90.19,1.16,1.5,0.62,100.94,100.26
