-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 11/30/2022 
Location: Latitude  -4.253   Longitude -69.935 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 104.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,ALLSKY_KT,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M
2013,1,1,4.54,0.44,25.03,27.15,23.44,92.38,10.3,99.8,0.65,1.27,0.14,86.81
2013,1,2,4.99,0.48,25.32,27.97,22.58,91.69,10.92,99.75,0.68,1.3,0.09,114.5
2013,1,3,3.21,0.3,24.84,26.98,22.98,94.62,14.6,99.88,0.88,1.21,0.26,127.06
2013,1,4,4.54,0.44,25.73,29.17,22.47,92.25,14.03,99.92,0.77,1.29,0.23,98.75
2013,1,5,3.9,0.38,26.23,29.29,23.44,88.75,3.17,99.84,0.78,1.29,0.28,40.56
2013,1,6,4.3,0.41,26.59,30.15,23.09,87.31,0.12,99.69,0.75,1.35,0.23,87.88
2013,1,7,4.06,0.39,26.14,28.99,23.72,90.94,10.99,99.64,0.75,1.16,0.3,62.62
2013,1,8,3.65,0.35,26.26,29.36,23.33,90.56,17.13,99.67,0.59,1.23,0.11,92.0
2013,1,9,4.46,0.43,26.33,29.19,24.24,93.5,32.96,99.73,0.69,1.18,0.16,95.12
2013,1,10,3.94,0.38,25.57,26.9,23.98,97.25,10.49,99.72,0.79,1.2,0.32,146.44
2013,1,11,3.65,0.35,26.01,29.41,23.05,92.88,18.31,99.54,0.65,0.95,0.34,206.62
2013,1,12,3.79,0.36,25.76,28.01,23.91,94.69,11.32,99.49,0.75,1.15,0.36,197.94
2013,1,13,3.47,0.33,26.12,29.23,23.74,90.38,2.93,99.56,0.66,1.29,0.1,214.06
2013,1,14,4.06,0.39,25.74,28.41,23.58,93.5,5.86,99.63,0.64,0.96,0.27,62.88
2013,1,15,2.35,0.23,25.16,27.59,22.68,94.06,50.81,99.58,0.62,1.29,0.09,60.12
2013,1,16,4.12,0.39,24.98,27.08,23.19,95.88,25.47,99.57,0.68,0.93,0.28,88.19
2013,1,17,5.72,0.55,25.83,29.02,22.99,92.94,6.47,99.71,0.73,1.34,0.24,99.06
2013,1,18,4.36,0.41,26.38,29.44,23.91,92.06,3.05,99.79,0.76,1.13,0.35,112.06
2013,1,19,4.86,0.46,26.49,29.56,24.48,90.5,4.68,99.71,0.64,1.16,0.21,78.62
2013,1,20,5.82,0.55,26.26,29.48,23.61,92.62,17.7,99.64,0.65,1.12,0.32,63.12
2013,1,21,3.11,0.3,25.87,28.05,24.22,94.06,19.65,99.63,0.69,1.2,0.12,88.06
2013,1,22,3.41,0.32,25.06,27.15,23.63,93.38,0.7,99.82,0.73,1.12,0.39,185.62
2013,1,23,3.22,0.3,25.73,28.49,23.48,91.75,2.67,99.89,0.73,1.09,0.11,228.69
2013,1,24,5.64,0.53,26.71,29.91,23.9,90.31,0.07,99.81,0.75,1.23,0.32,207.44
2013,1,25,5.97,0.56,26.78,29.58,24.34,91.06,1.1,99.69,0.68,1.2,0.26,89.75
2013,1,26,4.46,0.42,26.09,27.03,24.98,94.62,10.74,99.71,0.52,1.16,0.09,91.75
2013,1,27,1.81,0.17,25.95,28.0,23.49,93.94,20.9,99.83,0.66,1.35,0.19,115.56
2013,1,28,5.2,0.49,27.12,30.27,24.68,85.88,1.08,99.88,0.59,1.14,0.13,139.38
2013,1,29,3.84,0.36,26.75,28.8,24.59,85.25,0.35,99.81,0.38,1.09,0.07,105.31
2013,1,30,5.9,0.55,26.89,29.79,24.01,85.31,0.06,99.71,0.55,1.33,0.05,110.94
2013,1,31,5.35,0.51,26.55,29.61,24.3,89.81,0.81,99.55,0.77,1.45,0.22,60.56
2013,2,1,3.89,0.37,26.05,28.4,24.3,92.88,0.31,99.61,0.63,1.24,0.19,65.0
2013,2,2,4.35,0.41,26.51,29.96,23.52,88.69,0.03,99.69,0.61,1.23,0.28,108.56
2013,2,3,3.95,0.38,26.15,29.08,23.86,91.31,0.92,99.66,0.73,1.08,0.28,56.56
2013,2,4,2.27,0.21,25.32,27.77,23.33,93.56,29.53,99.68,0.65,1.02,0.29,169.75
2013,2,5,3.75,0.35,25.79,29.06,22.95,89.25,2.68,99.77,0.72,1.27,0.38,191.88
2013,2,6,4.43,0.41,26.09,29.52,23.15,86.88,0.11,99.74,0.49,0.86,0.02,118.88
2013,2,7,5.0,0.47,26.24,29.61,23.44,90.38,2.48,99.62,0.65,1.19,0.35,40.31
2013,2,8,3.74,0.35,26.29,29.27,23.84,91.88,3.46,99.58,0.63,1.06,0.22,88.31
2013,2,9,3.57,0.34,25.95,28.83,23.58,92.81,4.55,99.65,0.78,1.2,0.3,146.69
2013,2,10,2.36,0.22,24.51,26.14,23.07,97.06,5.44,99.77,0.57,0.82,0.34,141.12
2013,2,11,5.75,0.54,25.22,28.62,22.08,92.56,13.43,99.74,0.88,1.38,0.36,44.12
2013,2,12,5.03,0.47,25.35,28.37,22.91,93.25,31.15,99.76,0.8,1.27,0.18,53.0
2013,2,13,1.92,0.18,25.07,27.71,23.21,92.31,12.97,99.8,0.6,0.97,0.16,103.12
2013,2,14,3.44,0.32,25.23,28.47,22.95,90.88,1.37,99.87,0.7,1.11,0.38,46.44
2013,2,15,4.46,0.42,25.38,28.62,22.48,89.25,4.0,99.92,0.68,1.24,0.2,62.19
2013,2,16,4.53,0.42,24.84,27.05,23.02,90.38,1.58,99.8,0.58,1.06,0.05,218.81
2013,2,17,4.77,0.45,25.27,28.33,22.13,88.56,0.4,99.71,0.68,1.16,0.35,127.81
2013,2,18,4.97,0.47,24.87,27.06,23.03,93.81,17.98,99.79,0.78,1.21,0.3,51.5
2013,2,19,3.12,0.29,25.56,29.18,22.39,89.44,18.09,99.76,0.63,1.39,0.1,141.5
2013,2,20,4.43,0.41,24.35,25.59,23.04,95.06,9.22,99.71,0.62,0.96,0.19,116.94
2013,2,21,4.32,0.41,25.12,27.81,22.94,91.56,36.03,99.72,0.67,1.27,0.31,66.94
2013,2,22,2.59,0.24,25.13,27.62,23.11,93.06,24.71,99.85,0.72,1.27,0.12,79.75
2013,2,23,2.59,0.24,24.8,26.85,23.1,95.12,10.15,99.81,0.73,1.23,0.23,145.5
2013,2,24,5.46,0.52,25.59,29.06,22.53,90.88,2.83,99.67,0.77,1.22,0.23,103.94
2013,2,25,5.52,0.52,25.89,28.76,23.3,92.81,12.35,99.57,0.76,1.35,0.4,59.69
2013,2,26,5.45,0.51,25.64,27.56,23.96,95.44,17.21,99.7,0.81,1.21,0.26,162.94
2013,2,27,3.29,0.31,25.33,27.54,23.51,94.5,28.01,99.85,0.73,1.32,0.28,213.69
2013,2,28,4.53,0.43,24.95,27.23,23.02,95.56,25.97,99.75,0.66,1.17,0.34,166.5
2013,3,1,4.48,0.42,25.49,27.98,22.56,89.62,10.85,99.63,0.67,1.18,0.21,88.88
2013,3,2,3.52,0.33,25.68,28.39,24.26,91.5,4.22,99.69,0.47,0.74,0.02,171.44
2013,3,3,4.42,0.41,25.45,28.23,23.24,93.19,8.4,99.86,0.68,0.95,0.25,115.5
2013,3,4,4.35,0.41,25.69,28.72,23.36,90.44,5.15,99.96,0.7,1.2,0.16,160.5
2013,3,5,1.38,0.13,25.24,26.9,23.65,94.44,21.18,99.92,0.57,1.09,0.17,158.94
2013,3,6,5.31,0.5,25.76,29.28,22.98,90.0,1.76,99.86,0.77,1.34,0.43,73.38
2013,3,7,5.73,0.54,25.69,27.61,23.65,90.94,0.77,99.92,0.7,0.99,0.05,65.31
2013,3,8,4.21,0.4,26.46,29.8,23.15,87.94,0.17,99.95,0.89,1.28,0.22,111.44
2013,3,9,4.27,0.41,26.84,30.05,24.03,88.31,0.0,99.81,0.7,1.07,0.27,93.81
2013,3,10,3.77,0.36,26.33,28.55,24.03,92.38,43.12,99.73,0.7,1.34,0.05,77.5
