-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2013 through 11/30/2022 
Location: Latitude  -7.5   Longitude -63.03 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 66.95 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_KT             CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
PS                    MERRA-2 Surface Pressure (kPa) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WS10M_MIN             MERRA-2 Wind Speed at 10 Meters Minimum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,ALLSKY_KT,ALLSKY_SFC_SW_DWN,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WD10M
2013,1,1,0.51,5.45,26.71,29.57,23.73,85.12,18.94,100.21,0.58,0.95,0.15,117.56
2013,1,2,0.34,3.67,25.78,28.07,24.1,89.19,1.9,100.22,0.59,1.02,0.18,88.25
2013,1,3,0.52,5.58,25.55,28.46,23.0,90.0,29.77,100.32,0.52,1.11,0.13,161.38
2013,1,4,0.36,3.82,25.98,28.87,23.83,90.12,14.59,100.41,0.93,1.24,0.3,45.0
2013,1,5,0.52,5.59,26.58,30.1,23.78,88.5,0.93,100.34,0.8,1.19,0.39,46.0
2013,1,6,0.47,4.99,26.9,29.75,23.79,85.5,3.54,100.21,0.77,1.27,0.24,47.44
2013,1,7,0.56,6.04,26.58,29.33,24.16,85.75,1.77,100.14,0.81,1.09,0.3,82.94
2013,1,8,0.55,5.87,26.65,29.48,24.76,88.0,31.81,100.2,0.67,1.17,0.2,139.0
2013,1,9,0.39,4.19,26.53,29.46,24.4,91.62,16.16,100.22,0.86,1.24,0.28,91.62
2013,1,10,0.3,3.27,26.12,28.5,24.23,93.62,4.19,100.19,0.73,1.3,0.06,239.62
2013,1,11,0.34,3.67,25.65,27.86,24.29,94.25,10.38,99.98,0.79,1.27,0.33,303.0
2013,1,12,0.26,2.79,25.6,27.98,23.74,94.69,9.51,99.92,0.74,1.19,0.28,154.94
2013,1,13,0.23,2.43,25.33,27.51,23.8,94.25,13.98,100.08,0.67,0.99,0.32,93.75
2013,1,14,0.28,3.02,25.89,28.89,23.2,90.81,4.7,100.11,0.73,1.3,0.26,173.94
2013,1,15,0.37,3.96,25.36,27.23,23.83,93.94,4.36,100.08,0.59,1.3,0.06,68.5
2013,1,16,0.2,2.2,26.15,29.73,23.43,89.31,1.92,100.08,0.77,1.08,0.3,62.62
2013,1,17,0.59,6.29,26.89,30.63,23.55,86.12,0.17,100.2,0.79,1.23,0.35,59.19
